Year, Course, Golfer, Score,

1988, Sandy Lyle,Augusta National Golf Course,	281
1989, Nick Faldo,Augusta National Golf Course,	283
1990, Nick Faldo,Augusta National Golf Course,	278
1991, Ian Woosnam,Augusta National Golf Course,	277
1992, Fred Couples,Augusta National Golf Course,	275
1993, Bernhard Langer,Augusta National Golf Course,	277
1994, José María OlazábalAugusta National Golf Course,,	279
1995, Ben Crenshaw,Augusta National Golf Course,	274
1996, Nick Faldo,Augusta National Golf Course,	276
1997, Tiger Woods,Augusta National Golf Course,	270
1998, Mark O'MearaAugusta National Golf Course,,	279,	
1999, José María OlazábalAugusta National Golf Course,,	280
2000, Vijay Singh,Augusta National Golf Course,	278
2001, Tiger Woods,Augusta National Golf Course,	272
2002, Tiger Woods,Augusta National Golf Course,	276
2003, Mike Weir,Augusta National Golf Course,	281
2004, Phil Mickelson,Augusta National Golf Course,	279
2005, Tiger Woods,Augusta National Golf Course,	276
2006, Phil Mickelson,Augusta National Golf Course,	281
2007, Zach Johnson,Augusta National Golf Course,	289
2008, Trevor Immelman,Augusta National Golf Course,	280
2009, Ángel Cabrera,Augusta National Golf Course,	276
2010, Phil Mickelson,Augusta National Golf Course,	272
2011, Charl Schwartzel,Augusta National Golf Course,	274
2012, Bubba Watson,Augusta National Golf Course,	278
2013, Adam Scott,Augusta National Golf Course,	279
2014, Bubba Watson,Augusta National Golf Course,	280
2015, Jordan Spieth,Augusta National Golf Course,	270
2016, Danny Willett,Augusta National Golf Course,	283
2017, Sergio García,Augusta National Golf Course,	279
2018, Patrick Reed,Augusta National Golf Course,	273
2019, Tiger Woods,Augusta National Golf Course,	275


1988, Seve Ballesteros, Royal Lytham & St Annes, 273
1989, Mark Calcavecchia, Royal Troon, 275
1990, Nick Faldo, St Andrews, 270
1991, Ian Baker - Finch, Royal Birkdale, 272
1992, Nick Faldo, Muirfield, 272
1993, Greg Norman, Royal St George's, 267	
1994, Nick Price, Turnberry	South, 268
1995, John Daly, St Andrews, 282
1996, Tom Lehman, Royal Lytham & St Annes, 271
1997, Justin Leonard, Royal Troon, 272
1998, Mark O'Meara, 	Royal Birkdale, 	280
1999, Paul Lawrie, Carnoustie, 290
2000, Tiger Woods, St Andrews, 269
2001, David Duval, Royal Lytham & St Annes, 274
2002, Ernie Els, Muirfield, 278
2003, Ben Curtis, Royal St George's, 283	
2004, Todd Hamilton, Royal Troon, 274
2005, Tiger Woods, St Andrews, 274
2006, Tiger Woods, Royal Liverpool, 270
2007, Pádraig Harrington, Carnoustie, 277
2008, Pádraig Harrington, Royal Birkdale, 283
2009, Stewart Cink, Turnberry	South, 278
2010, Louis Oosthuizen, St Andrews, 272
2011, Darren Clarke, Royal St George's, 275	
2012, Ernie Els, Royal Lytham & St Annes, 273
2013, Phil Mickelson, Muirfield, 281
2014, Rory McIlroy, Royal Liverpool, 271
2015, Zach Johnson, St Andrews, 273
2016, Henrik Stenson, Royal Troon, 264
2017, Jordan Spieth, Royal Birkdale, 268
2018, Francesco Molinari, Carnoustie, 276
2019, Shane Lowry, Royal Portrush, 269	


1988, Jeff Sluman, Oak Tree, 272
1989, Payne Stewart, Kemper Lakes, 276
1990, Wayne Grady, Shoal Creek, 282
1991, John Daly, Crooked Stick, 276
1992, Nick Price, Bellerive Country Club, 278
1993, Paul Azinger, Inverness Club, 272
1994, Nick Price, Southern Hills, 269
1995, Steve Elkington, Riviera Country Club, 267
1996, Mark Brooks, Valhalla Golf Club, 277
1997, Davis Love III, Winged Foot, West Course, 269
1998, Vijay Singh, Sahalee Country Club, 271
1999, Tiger Woods, Medinah Country Club, Course No. 3, 277
2000, Tiger Woods, Valhalla Golf Club, 270
2001, David Toms, Atlanta Athletic Club, Highlands Course, 265
2002, Rich Beem, Hazeltine National, 278
2003, Shaun Micheel, Oak Hill, East Course, 276
2004, Vijay Singh, Whistling Straits, Straits Course, 280
2005, Phil Mickelson, Baltusrol Golf Club, Lower Course, 276
2006, Tiger Woods, Medinah Country Club, Course No. 3, 270
2007, Tiger Woods, Southern Hills, 272
2008, Pádraig Harrington, Oakland Hills, South Course, 277
2009, Yang Yong - eun, Hazeltine National, 280
2010, Martin Kaymer, Whistling Straits, Straits Course, 277
2011, Keegan Bradley, Atlanta Athletic Club, Highlands Course, 272
2012, Rory McIlroy, Kiawah Island Golf Resort, The Ocean Course, 275
2013, Jason Dufner, Oak Hill, East Course, 270
2014, Rory McIlroy, Valhalla Golf Club, 268
2015, Jason Day, Whistling Straits, Straits Course, 268
2016, Jimmy Walker, Baltusrol Golf Club, Lower Course, 266
2017, Justin Thomas, Quail Hollow Club, 276
2018, Brooks Koepka, Bellerive Country Club, 264
2019, Brooks Koepka, Bethpage Black Course, 272

1988, Curtis Strange, The Country Club, 278
1989, Curtis Strange, Oak Hill Country Club, 278
1990, Hale Irwin, Medinah Country Club, 280
1991, Payne Stewart, Hazeltine National Golf Club, 282
1992, Tom Kite, Pebble Beach, 285
1993, Lee Janzen, Baltusrol Golf Club, 272
1994, Ernie Els, Oakmont Country Club, 279
1995, Corey Pavin, Shinnecock Hill, 280
1996, Steve Jones, Oakland Hills, 278
1997, Ernie Els, Congressional Country Club, 276
1998, Lee Janzen, Olympic Club, 280
1999, Payne Stewart, Pinehurst Resort, 279
2000, Tiger Woods, Pebble Beach, 272
2001, Retief Goosen, Southern Hills, 276
2002, Tiger Woods, Bethpage Black, 277
2003, Jim Furyk, Olympia Fields, 272
2004, Retief Goosen, Shinnecock Hills, 276
2005, Michael Campbell, Pinehurst Resort, 280
2006, Geoff Ogilvy, Winged Foot Golf Club, 285
2007, Ángel Cabrera, Oakmont Country Club, 285
2008, Tiger Woods, Torrey Pines, 283
2009, Lucas Glover, Bethpage Black, 276
2010, Graeme McDowell, Pebble Beach Golf Links, 284
2011, Rory McIlroy, Congressional Country Club, 268
2012, Webb Simpson, Olympic Club, 281
2013, Justin Rose, Merion Golf Club, 281
2014, Martin Kaymer, Pinehurst Resort, 271
2015, Jordan Spieth, Chambers Bay, 275
2016, Dustin Johnson, Oakmont Country Club, 276
2017, Brooks Koepka, Erin Hills, 272
2018, Brooks Koepka, Shinnecock Hills, 281
