year, golfer, course, score

1988, Seve Ballesteros, Royal Lytham & St Annes, 273
1989, Mark Calcavecchia, Royal Troon, 275
1990, Nick Faldo, St Andrews, 270
1991, Ian Baker - Finch, Royal Birkdale, 272
1992, Nick Faldo, Muirfield, 272
1993, Greg Norman, Royal St George's, 267	
1994, Nick Price, Turnberry	South, 268
1995, John Daly, St Andrews, 282
1996, Tom Lehman, Royal Lytham & St Annes, 271
1997, Justin Leonard, Royal Troon, 272
1998, Mark O'Meara, 	Royal Birkdale, 	280
1999, Paul Lawrie, Carnoustie, 290
2000, Tiger Woods, St Andrews, 269
2001, David Duval, Royal Lytham & St Annes, 274
2002, Ernie Els, Muirfield, 278
2003, Ben Curtis, Royal St George's, 283	
2004, Todd Hamilton, Royal Troon, 274
2005, Tiger Woods, St Andrews, 274
2006, Tiger Woods, Royal Liverpool, 270
2007, Pádraig Harrington, Carnoustie, 277
2008, Pádraig Harrington, Royal Birkdale, 283
2009, Stewart Cink, Turnberry	South, 278
2010, Louis Oosthuizen, St Andrews, 272
2011, Darren Clarke, Royal St George's, 275	
2012, Ernie Els, Royal Lytham & St Annes, 273
2013, Phil Mickelson, Muirfield, 281
2014, Rory McIlroy, Royal Liverpool, 271
2015, Zach Johnson, St Andrews, 273
2016, Henrik Stenson, Royal Troon, 264
2017, Jordan Spieth, Royal Birkdale, 268
2018, Francesco Molinari, Carnoustie, 276
2019, Shane Lowry, Royal Portrush, 269	
