Year, Golfer, Course, Score

1988, Curtis Strange, The Country Club, 278
1989, Curtis Strange, Oak Hill Country Club, 278
1990, Hale Irwin, Medinah Country Club, 280
1991, Payne Stewart, Hazeltine National Golf Club, 282
1992, Tom Kite, Pebble Beach, 285
1993, Lee Janzen, Baltusrol Golf Club, 272
1994, Ernie Els, Oakmont Country Club, 279
1995, Corey Pavin, Shinnecock Hill, 280
1996, Steve Jones, Oakland Hills, 278
1997, Ernie Els, Congressional Country Club, 276
1998, Lee Janzen, Olympic Club, 280
1999, Payne Stewart, Pinehurst Resort, 279
2000, Tiger Woods, Pebble Beach, 272
2001, Retief Goosen, Southern Hills, 276
2002, Tiger Woods, Bethpage Black, 277
2003, Jim Furyk, Olympia Fields, 272
2004, Retief Goosen, Shinnecock Hills, 276
2005, Michael Campbell, Pinehurst Resort, 280
2006, Geoff Ogilvy, Winged Foot Golf Club, 285
2007, Ángel Cabrera, Oakmont Country Club, 285
2008, Tiger Woods, Torrey Pines, 283
2009, Lucas Glover, Bethpage Black, 276
2010, Graeme McDowell, Pebble Beach Golf Links, 284
2011, Rory McIlroy, Congressional Country Club, 268
2012, Webb Simpson, Olympic Club, 281
2013, Justin Rose, Merion Golf Club, 281
2014, Martin Kaymer, Pinehurst Resort, 271
2015, Jordan Spieth, Chambers Bay, 275
2016, Dustin Johnson, Oakmont Country Club, 276
2017, Brooks Koepka, Erin Hills, 272
2018, Brooks Koepka, Shinnecock Hills, 281
2019, Gary Woodland, Pebble Beach Golf Links, 271	
